ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
10,20,125,10,1,100,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,10,2,10,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,10,2,100,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,12,1,10,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,12,1,100,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,12,2,10,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,12,2,100,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,15,1,10,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,15,1,100,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,15,2,10,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,15,2,100,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,150,3,1,10,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,3,1,100,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,3,2,10,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,3,2,100,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,5,1,10,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,5,1,100,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,5,2,10,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,5,2,100,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,7,1,10,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,7,1,100,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,7,2,10,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,7,2,100,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,10,1,10,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,10,1,100,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,10,2,10,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,10,2,100,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,12,1,10,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,12,1,100,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,12,2,10,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,12,2,100,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,15,1,10,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,15,1,100,1,43692.72509999994,89.59810874704492,360.06466675461735,-2108.4496272727274,423,0.17077224046388995,2
10,20,150,15,2,10,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,150,15,2,100,1,9741.46355000014,87.33031674208145,375.20623886010435,-2238.333591071431,221,0.1676274887518009,2
10,20,200,3,1,10,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,3,1,100,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,3,2,10,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,3,2,100,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,5,1,10,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,5,1,100,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,5,2,10,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
