ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE,SCORE
75,3200,25,1,2,10,1,43037.5,21.333333333333336,3479.6875,-578.9194915254237,150,6.010658737419945,14,0.14275644746662244
25,100,150,2,2,10,1,42762.5,64.23357664233576,1677.1306818181818,-2139.285714285714,137,0.7839675975110032,3,0.14184426569367278
25,100,150,1,2,10,1,42762.5,64.23357664233576,1677.1306818181818,-2139.285714285714,137,0.7839675975110032,3,0.14184426569367278
75,400,10,2,2,10,1,42712.5,12.0,5532.638888888889,-430.8712121212121,150,12.84058608058608,25,0.14167841446222737
50,50,200,1,2,10,1,42650.0,81.29496402877699,986.7256637168142,-2648.076923076923,139,0.3726197132409175,2,0.14147110042292063
50,50,200,2,2,10,1,42650.0,81.29496402877699,986.7256637168142,-2648.076923076923,139,0.3726197132409175,2,0.14147110042292063
75,200,25,1,1,10,1,42562.5,22.258064516129032,2775.18115942029,-617.9460580912863,310,4.490976393622897,19,0.14118086076789121
50,75,150,2,2,10,1,42475.0,70.50359712230215,1324.6173469387754,-2130.182926829268,139,0.6218326746757097,2,0.14089062111286177
50,75,150,1,2,10,1,42475.0,70.50359712230215,1324.6173469387754,-2130.182926829268,139,0.6218326746757097,2,0.14089062111286177
75,6400,200,2,2,10,1,42350.0,35.333333333333336,6007.7830188679245,-2846.005154639175,150,2.110952964745986,8,0.1404759930342483
75,3200,200,2,2,10,1,42350.0,35.333333333333336,6007.7830188679245,-2846.005154639175,150,2.110952964745986,8,0.1404759930342483
75,12800,200,2,2,10,1,42350.0,35.333333333333336,6007.7830188679245,-2846.005154639175,150,2.110952964745986,8,0.1404759930342483
