ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
10,10,10,1,1,10,100,553750.0,55.27638190954774,492.3863636363636,-546.3483146067416,19900,0.9012315961673287,500
10,10,10,1,2,10,100,-115000.0,50.53763440860215,567.8191489361702,-605.1630434782609,9300,0.9382911845914264,500
10,10,10,1,5,10,100,-205000.0,33.33333333333333,687.5,-471.875,2400,1.4569536423841059,800
10,10,10,1,10,10,100,120000.0,66.66666666666666,818.75,-437.5,300,1.8714285714285714,100
10,10,10,2,1,10,100,553750.0,55.27638190954774,492.3863636363636,-546.3483146067416,19900,0.9012315961673287,500
10,10,10,2,2,10,100,-115000.0,50.53763440860215,567.8191489361702,-605.1630434782609,9300,0.9382911845914264,500
10,10,10,2,5,10,100,-205000.0,33.33333333333333,687.5,-471.875,2400,1.4569536423841059,800
10,10,10,2,10,10,100,120000.0,66.66666666666666,818.75,-437.5,300,1.8714285714285714,100
10,10,25,1,1,10,100,888750.0,63.81909547738693,475.59055118110234,-715.4513888888889,19900,0.6647419497217057,500
10,10,25,1,2,10,100,310000.0,62.365591397849464,543.3189655172414,-811.7857142857143,9300,0.6692886508791359,500
10,10,25,1,5,10,100,-48750.0,50.0,569.7916666666666,-610.4166666666666,2400,0.9334470989761092,400
10,10,25,1,10,10,100,120000.0,66.66666666666666,818.75,-437.5,300,1.8714285714285714,100
10,10,25,2,1,10,100,888750.0,63.81909547738693,475.59055118110234,-715.4513888888889,19900,0.6647419497217057,500
10,10,25,2,2,10,100,310000.0,62.365591397849464,543.3189655172414,-811.7857142857143,9300,0.6692886508791359,500
10,10,25,2,5,10,100,-48750.0,50.0,569.7916666666666,-610.4166666666666,2400,0.9334470989761092,400
10,10,25,2,10,10,100,120000.0,66.66666666666666,818.75,-437.5,300,1.8714285714285714,100
10,10,50,1,1,10,100,1241250.0,72.72727272727273,453.7326388888889,-980.0925925925926,19800,0.4629487482286254,400
10,10,50,1,2,10,100,500000.0,73.11827956989248,500.7352941176471,-1162.0,9300,0.43092538220107324,400
10,10,50,1,5,10,100,-67500.0,58.333333333333336,553.5714285714286,-842.5,2400,0.6570580754557015,400
10,10,50,1,10,10,100,186250.0,100.0,620.8333333333334,0.0,300,620.8333333333334,0
10,10,50,2,1,10,100,1241250.0,72.72727272727273,453.7326388888889,-980.0925925925926,19800,0.4629487482286254,400
10,10,50,2,2,10,100,500000.0,73.11827956989248,500.7352941176471,-1162.0,9300,0.43092538220107324,400
10,10,50,2,5,10,100,-67500.0,58.333333333333336,553.5714285714286,-842.5,2400,0.6570580754557015,400
10,10,50,2,10,10,100,186250.0,100.0,620.8333333333334,0.0,300,620.8333333333334,0
10,10,75,1,1,10,100,1498750.0,79.69543147208121,439.171974522293,-1349.0625,19700,0.32553864222175993,400
10,10,75,1,2,10,100,-65000.0,75.26881720430107,495.7142857142857,-1536.9565217391305,9300,0.3225298040008082,400
10,10,75,1,5,10,100,-145000.0,66.66666666666666,545.3125,-1271.875,2400,0.42874692874692877,400
10,10,75,1,10,10,100,186250.0,100.0,620.8333333333334,0.0,300,620.8333333333334,0
10,10,75,2,1,10,100,1498750.0,79.69543147208121,439.171974522293,-1349.0625,19700,0.32553864222175993,400
10,10,75,2,2,10,100,-65000.0,75.26881720430107,495.7142857142857,-1536.9565217391305,9300,0.3225298040008082,400
10,10,75,2,5,10,100,-145000.0,66.66666666666666,545.3125,-1271.875,2400,0.42874692874692877,400
10,10,75,2,10,10,100,186250.0,100.0,620.8333333333334,0.0,300,620.8333333333334,0
10,10,100,1,1,10,100,1457500.0,82.6530612244898,432.7932098765432,-1633.4558823529412,19600,0.2649555549998194,400
10,10,100,1,2,10,100,50000.0,78.49462365591397,497.43150684931504,-1790.625,9300,0.27779770016017596,300
10,10,100,1,5,10,100,-37500.0,75.0,563.1944444444445,-1752.0833333333333,2400,0.3214427269124059,300
10,10,100,1,10,10,100,186250.0,100.0,620.8333333333334,0.0,300,620.8333333333334,0
10,10,100,2,1,10,100,1457500.0,82.6530612244898,432.7932098765432,-1633.4558823529412,19600,0.2649555549998194,400
10,10,100,2,2,10,100,50000.0,78.49462365591397,497.43150684931504,-1790.625,9300,0.27779770016017596,300
10,10,100,2,5,10,100,-37500.0,75.0,563.1944444444445,-1752.0833333333333,2400,0.3214427269124059,300
10,10,100,2,10,10,100,186250.0,100.0,620.8333333333334,0.0,300,620.8333333333334,0
10,10,125,1,1,10,100,1965000.0,85.71428571428571,438.9136904761905,-1931.6964285714287,19600,0.22721670133271704,400
10,10,125,1,2,10,100,608750.0,82.79569892473118,509.7402597402597,-2072.65625,9300,0.2459357453703477,300
10,10,125,1,5,10,100,-206250.0,75.0,563.1944444444445,-2033.3333333333333,2400,0.2769808743169399,300
10,10,125,1,10,10,100,186250.0,100.0,620.8333333333334,0.0,300,620.8333333333334,0
10,10,125,2,1,10,100,1965000.0,85.71428571428571,438.9136904761905,-1931.6964285714287,19600,0.22721670133271704,400
10,10,125,2,2,10,100,608750.0,82.79569892473118,509.7402597402597,-2072.65625,9300,0.2459357453703477,300
10,10,125,2,5,10,100,-206250.0,75.0,563.1944444444445,-2033.3333333333333,2400,0.2769808743169399,300
