ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
50,1600,200,1,2,100,1,54737.5,49.64028776978417,3633.876811594203,-2800.0,139,1.2978131469979295,0.1815656356248445
100,1600,25,2,1,100,1,54275.0,10.985915492957748,6558.333333333333,-637.6582278481013,355,10.285028949545078,0.18003151173397464
75,1600,200,2,2,100,1,54225.0,35.333333333333336,6231.83962264151,-2846.005154639175,150,2.1896796681774107,0.17986566050252922
100,1600,200,2,1,100,1,53625.0,34.36619718309859,5716.188524590164,-2762.8755364806866,355,2.068927264045838,0.17787544572518452
25,800,150,2,2,100,1,53600.0,28.46715328467153,6754.166666666667,-2140.9438775510203,137,3.154761195511866,0.1777925201094618
75,800,25,1,2,100,1,53500.0,21.333333333333336,3806.640625,-578.9194915254237,150,6.575423147301007,0.17746081764657104
75,1600,175,1,2,100,1,53125.0,46.66666666666666,3607.142857142857,-2492.1875,150,1.4473802060008958,0.17621693341073058
100,1600,175,2,2,100,1,53025.0,31.61290322580645,6361.479591836735,-2440.448113207547,155,2.606685041738367,0.17588523094783978
100,200,50,2,1,100,1,52737.5,27.323943661971832,3024.4845360824743,-932.703488372093,355,3.24270743466533,0.17493158636702877
75,200,10,1,1,100,1,52612.5,18.064516129032256,2896.651785714286,-431.496062992126,310,6.713043372002086,0.1745169582884153
100,1600,50,1,1,100,1,52487.5,30.422535211267604,2637.384259259259,-940.6882591093116,355,2.8036751109835896,0.17410233020980181
50,1600,150,1,2,100,1,52150.0,42.44604316546763,3830.932203389831,-2173.4375,139,1.762614385456141,0.17298283439754542
10,3200,150,2,2,100,1,51950.0,28.24427480916031,6891.216216216216,-2159.840425531915,131,3.1906135910568856,0.17231942947176382
75,1600,25,2,1,100,1,51912.5,12.580645161290322,5719.551282051282,-631.549815498155,310,9.056373926005827,0.1721950410481798
75,800,25,1,1,100,1,51012.5,21.61290322580645,3001.865671641791,-617.7469135802469,310,4.8593778546687,0.1692097188821627
25,1600,200,2,2,100,1,50837.5,33.57664233576642,6736.95652173913,-2846.8406593406594,137,2.36646771909582,0.16862923957210382
25,3200,150,2,2,100,1,50737.5,28.46715328467153,6680.769230769231,-2140.9438775510203,137,3.1204784491647763,0.16829753710921302
75,200,10,2,1,100,1,49850.0,17.096774193548388,3027.830188679245,-430.44747081712063,310,7.034145613474043,0.1653536777510573
75,800,25,2,1,100,1,49837.5,12.580645161290322,5666.346153846154,-631.549815498155,310,8.972128587159263,0.16531221494319595
25,800,175,2,2,100,1,49637.5,31.38686131386861,6633.139534883721,-2506.25,137,2.646639215913704,0.16464881001741438
100,1600,10,2,2,100,1,49525.0,7.741935483870968,8985.416666666666,-407.6923076923077,155,22.039701257861637,0.16427564474666223
25,800,10,2,2,100,1,49100.0,9.48905109489051,7448.076923076923,-384.8790322580645,137,19.351734697989283,0.1628659092793764
75,1600,25,2,2,100,1,48575.0,12.666666666666668,6805.921052631579,-616.3167938931298,150,11.042894044214112,0.16112447134919977
10,800,150,2,2,100,1,48400.0,28.24427480916031,6795.27027027027,-2159.840425531915,131,3.1461908898185214,0.16054399203914088
100,1600,10,1,1,100,1,48000.0,15.492957746478872,3295.681818181818,-444.2083333333333,355,7.419225554484911,0.15921718218757774
100,800,10,1,2,100,1,47975.0,13.548387096774196,4648.809523809524,-370.5223880597015,155,12.546635975638996,0.15913425657185504
75,800,200,1,2,100,1,47775.0,52.0,3208.49358974359,-2812.3263888888887,150,1.140868144757274,0.15847085164607347
100,400,75,2,1,100,1,47575.0,21.12676056338028,5275.833333333333,-1243.258928571429,355,4.243551533867164,0.1578074467202919
75,400,25,2,1,100,1,47325.0,12.903225806451612,5417.5,-627.3148148148148,310,8.636014760147601,0.15697819056306492
25,1600,175,1,2,100,1,47325.0,42.33576642335766,4265.301724137931,-2532.43670886076,137,1.6842678473321917,0.15697819056306492
