ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
10,10,10,1,1,10,1,-16550.0,44.63519313304721,430.40865384615387,-475.2906976744186,233,0.9055692778169843,8
10,10,10,1,2,10,1,1275.0,49.61832061068702,425.7692307692308,-400.0,131,1.064423076923077,6
10,10,10,1,5,10,1,4437.5,53.84615384615385,491.9642857142857,-389.0625,52,1.2644865174985658,3
10,10,10,1,10,10,1,2175.0,58.620689655172406,272.05882352941177,-204.16666666666666,29,1.3325330132052822,3
10,10,10,2,1,10,1,-16550.0,44.63519313304721,430.40865384615387,-475.2906976744186,233,0.9055692778169843,8
10,10,10,2,2,10,1,1275.0,49.61832061068702,425.7692307692308,-400.0,131,1.064423076923077,6
10,10,10,2,5,10,1,4437.5,53.84615384615385,491.9642857142857,-389.0625,52,1.2644865174985658,3
10,10,10,2,10,10,1,2175.0,58.620689655172406,272.05882352941177,-204.16666666666666,29,1.3325330132052822,3
10,10,25,1,1,10,1,-17575.0,54.077253218884124,408.234126984127,-644.9766355140187,233,0.632944054878487,7
10,10,25,1,2,10,1,2537.5,61.832061068702295,407.25308641975306,-609.0,131,0.668724279835391,4
10,10,25,1,5,10,1,5100.0,67.3076923076923,441.07142857142856,-608.0882352941177,52,0.7253411642770772,3
10,10,25,1,10,10,1,3675.0,79.3103448275862,269.5652173913044,-420.8333333333333,29,0.6405510116229015,2
10,10,25,2,1,10,1,-17575.0,54.077253218884124,408.234126984127,-644.9766355140187,233,0.632944054878487,7
10,10,25,2,2,10,1,2537.5,61.832061068702295,407.25308641975306,-609.0,131,0.668724279835391,4
10,10,25,2,5,10,1,5100.0,67.3076923076923,441.07142857142856,-608.0882352941177,52,0.7253411642770772,3
10,10,25,2,10,10,1,3675.0,79.3103448275862,269.5652173913044,-420.8333333333333,29,0.6405510116229015,2
10,10,50,1,1,10,1,-18412.5,64.8068669527897,391.2251655629139,-944.969512195122,233,0.4140082410215704,7
10,10,50,1,2,10,1,7000.0,74.04580152671755,393.8144329896907,-917.6470588235294,131,0.42915675389902197,4
10,10,50,1,5,10,1,6762.5,76.92307692307693,431.875,-876.0416666666666,52,0.49298454221165283,2
10,10,50,1,10,10,1,2500.0,82.75862068965517,264.5833333333333,-770.0,29,0.3436147186147186,1
10,10,50,2,1,10,1,-18412.5,64.8068669527897,391.2251655629139,-944.969512195122,233,0.4140082410215704,7
10,10,50,2,2,10,1,7000.0,74.04580152671755,393.8144329896907,-917.6470588235294,131,0.42915675389902197,4
10,10,50,2,5,10,1,6762.5,76.92307692307693,431.875,-876.0416666666666,52,0.49298454221165283,2
10,10,50,2,10,10,1,2500.0,82.75862068965517,264.5833333333333,-770.0,29,0.3436147186147186,1
10,10,75,1,1,10,1,-17125.0,71.67381974248927,388.32335329341316,-1242.0454545454545,233,0.31264826248692,4
10,10,75,1,2,10,1,10012.5,80.1526717557252,388.6904761904762,-1184.6153846153845,131,0.3281153370439085,4
10,10,75,1,5,10,1,7287.5,82.6923076923077,414.8255813953488,-1172.2222222222222,52,0.35387964289650614,1
10,10,75,1,10,10,1,3412.5,89.65517241379311,260.09615384615387,-1116.6666666666667,29,0.23292192881745122,1
10,10,75,2,1,10,1,-17125.0,71.67381974248927,388.32335329341316,-1242.0454545454545,233,0.31264826248692,4
10,10,75,2,2,10,1,10012.5,80.1526717557252,388.6904761904762,-1184.6153846153845,131,0.3281153370439085,4
10,10,75,2,5,10,1,7287.5,82.6923076923077,414.8255813953488,-1172.2222222222222,52,0.35387964289650614,1
10,10,75,2,10,10,1,3412.5,89.65517241379311,260.09615384615387,-1116.6666666666667,29,0.23292192881745122,1
10,10,100,1,1,10,1,-20237.5,75.10729613733905,396.07142857142856,-1543.9655172413793,233,0.25652867512163996,4
10,10,100,1,2,10,1,7350.0,82.44274809160305,387.15277777777777,-1498.3695652173913,131,0.25838270261556445,4
10,10,100,1,5,10,1,6125.0,84.61538461538461,408.8068181818182,-1482.8125,52,0.2756969058338921,1
10,10,100,1,10,10,1,5237.5,96.55172413793103,251.33928571428572,-1800.0,29,0.1396329365079365,1
10,10,100,2,1,10,1,-20237.5,75.10729613733905,396.07142857142856,-1543.9655172413793,233,0.25652867512163996,4
10,10,100,2,2,10,1,7350.0,82.44274809160305,387.15277777777777,-1498.3695652173913,131,0.25838270261556445,4
10,10,100,2,5,10,1,6125.0,84.61538461538461,408.8068181818182,-1482.8125,52,0.2756969058338921,1
10,10,100,2,10,10,1,5237.5,96.55172413793103,251.33928571428572,-1800.0,29,0.1396329365079365,1
10,10,125,1,1,10,1,-22475.0,78.11158798283262,393.95604395604397,-1846.5686274509803,233,0.21334492425546317,3
10,10,125,1,2,10,1,11812.5,86.25954198473282,387.3893805309734,-1775.6944444444443,131,0.21816218535964088,2
10,10,125,1,5,10,1,8125.0,88.46153846153845,399.7282608695652,-1710.4166666666667,52,0.23370227188476406,1
10,10,125,1,10,10,1,5237.5,96.55172413793103,251.33928571428572,-1800.0,29,0.1396329365079365,1
10,10,125,2,1,10,1,-22475.0,78.11158798283262,393.95604395604397,-1846.5686274509803,233,0.21334492425546317,3
10,10,125,2,2,10,1,11812.5,86.25954198473282,387.3893805309734,-1775.6944444444443,131,0.21816218535964088,2
