ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
5,25,100,10,2,10,1,12148.86354999982,80.67632850241546,399.64188173652593,-1364.7832674999997,207,0.29282442952908344,4
5,35,50,10,1,10,1,8375.060600000099,60.35353535353535,525.1579267782424,-746.0998974522284,396,0.703870793403865,5
5,35,50,10,2,10,1,4244.544100000121,61.35265700483091,531.50994448819,-790.715235625,207,0.6721888241701476,6
5,35,75,10,1,10,1,9423.860599999833,68.43434343434343,525.7368012915127,-1064.4065004000013,396,0.4939248314379348,5
5,35,75,10,2,10,1,5058.434749999991,69.08212560386472,529.4527325174827,-1103.957906250001,207,0.4795950366585657,5
5,35,100,10,1,10,1,23762.91584999986,75.25252525252525,530.152603691275,-1369.6179596938778,396,0.3870806453281096,5
5,35,100,10,2,10,1,14030.61564999992,75.84541062801932,534.8453356687897,-1398.8020410000008,207,0.3823595619623416,4
10,10,50,10,1,10,1,14165.884399999672,80.8252427184466,220.74515540540497,-751.1677512658248,412,0.29386931884844353,4
10,10,50,10,2,10,1,4361.660500000402,79.62962962962963,225.05202790697945,-780.6201886363656,216,0.2882990104318387,3
10,10,75,10,1,10,1,13754.064849999759,85.43689320388349,220.08378451704496,-1061.9237883333342,412,0.20725007475579918,3
10,10,75,10,2,10,1,6234.225100000413,85.18518518518519,224.83623722826357,-1097.9888296875033,216,0.20477096956646984,3
10,10,100,10,1,10,1,22104.702449999626,89.56310679611651,222.1152766937662,-1391.9961546511652,412,0.1595660131327219,3
10,10,100,10,2,10,1,10743.584300000362,89.35185185185185,225.5733994818674,-1425.742686956525,216,0.15821466351925662,3
10,15,50,10,1,10,1,13680.87239999948,75.48543689320388,283.3279508038574,-736.971488118814,412,0.3844489988711469,5
10,15,50,10,2,10,1,3699.8366500001102,74.53703703703704,282.99583695652314,-761.1362381818204,216,0.3718070731102426,3
10,15,75,10,1,10,1,13620.789899999523,81.31067961165049,283.0184222388051,-1054.4205396103916,412,0.26841133267697953,3
10,15,75,10,2,10,1,3993.7661000001754,80.55555555555556,281.570870689657,-1071.4182238095277,216,0.26280201739382913,3
10,15,100,10,1,10,1,27051.700949999515,86.89320388349515,283.6400818435745,-1379.4712657407422,412,0.20561507070701232,3
