ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE,SCORE
10,25,50,10,2,10,1,14992.855700000207,71.94570135746606,443.3823591194999,-895.2409580645211,221,0.4952659450234232,3,0.04973167161456243
25,25,75,10,2,10,1,14349.713350000204,76.0,464.1462514619889,-1204.0610305555545,225,0.3854839909965623,3,0.04759835259971873
10,15,75,10,2,10,1,14075.60675000022,84.16289592760181,320.23015188172224,-1299.6343285714331,221,0.2464001949176899,2,0.04668913425657258
10,15,50,10,2,10,1,13838.923700000138,79.63800904977376,322.99271590909234,-955.7287622222252,221,0.337954374375091,3,0.04590405075047728
25,35,100,10,1,10,1,13835.323850000052,73.13769751693002,554.4108736111115,-1393.225203361345,443,0.397933422589198,3,0.04589210995936662
25,15,100,10,2,10,1,13317.534450000176,84.88888888888889,347.36884790576,-1559.7033970588238,225,0.2227146831639933,3,0.044174589766979605
10,10,75,10,2,10,1,12782.423550000316,87.33031674208145,264.2154023316081,-1364.683896428574,221,0.1936092328949357,2,0.042399613732483014
25,35,75,10,2,10,1,12607.687300000296,70.22222222222221,591.0824762658243,-1205.7215514925365,225,0.4902313270706127,3,0.04182000928766994
5,25,75,10,2,10,1,12164.717949999907,76.49769585253456,446.958739156627,-1216.2829950980436,217,0.3674792305392694,2,0.040350669043867346
10,35,75,10,2,10,1,11835.011250000192,71.04072398190046,560.996870063697,-1191.2733960937533,221,0.4709220166447387,5,0.03925702379965235
5,35,50,10,2,10,1,11560.49530000004,64.0552995391705,571.0849089928075,-869.4911160256431,217,0.6568036158933739,6,0.03834644763247381
10,35,50,10,2,10,1,11059.094700000263,63.80090497737556,564.7663482269535,-857.1620050000025,221,0.658879354115739,6,0.03668328949332536
5,35,75,10,2,10,1,10651.262749999887,70.50691244239631,563.42319509804,-1180.5075953125038,217,0.4772719780332211,4,0.03533050087071859
5,25,50,10,2,10,1,10585.723200000024,70.04608294930875,452.8751444078957,-896.173826923079,217,0.5053429711987864,4,0.035113104569201505
10,10,50,10,2,10,1,10495.063050000274,82.80542986425338,266.2175226775971,-1005.8616736842114,221,0.2646661361522118,3,0.034812382618791854
5,15,100,10,2,10,1,9877.974700000164,85.71428571428571,321.87041102150584,-1612.5781209677398,217,0.1995998871845942,2,0.032765485363629374
5,10,75,10,2,10,1,9205.953000000112,86.17511520737328,264.1426823529423,-1339.62428666667,217,0.1971766897494798,2,0.03053637283356866
5,10,100,10,2,10,1,9103.535050000186,88.47926267281106,265.3470799479176,-1673.724172,217,0.158536922861575,2,0.030196649970976652
25,15,75,10,2,10,1,8609.47395000028,80.88888888888889,344.830578846155,-1259.2951488372082,225,0.2738282436524593,3,0.02855783713409165
5,15,50,10,2,10,1,8590.565050000056,77.41935483870968,325.164279166667,-939.5313030612248,217,0.3460920121630876,4,0.028495115847085348
25,25,100,10,1,10,1,8201.004100000091,77.42663656884876,430.6987093294462,-1395.2865319999994,443,0.3086811916059163,3,0.027202932581474718
5,15,75,10,2,10,1,7969.125600000007,82.02764976958525,322.9949213483152,-1269.845394871798,217,0.2543576742906757,2,0.026433785886060226
25,25,50,10,2,10,1,7321.434100000237,67.11111111111111,473.84981854304624,-867.9714662162131,225,0.545927875496554,5,0.024285377228626708
5,10,50,10,2,10,1,7277.324450000151,81.5668202764977,265.27039830508556,-991.8884012500002,217,0.26743976234704,3,0.02413906443320392
25,35,50,10,2,10,1,6908.798000000435,60.44444444444444,598.7862485294133,-837.372267415728,225,0.7150777161242379,5,0.022916653122150875
25,15,50,10,2,10,1,6106.02655000041,74.66666666666667,349.7512577380966,-923.722539473682,225,0.3786323736750839,5,0.02025384045111671
25,10,100,10,2,10,1,5905.266350000102,86.66666666666667,274.773040512821,-1589.1825516666677,225,0.1729021251993049,2,0.019587913923211218
25,35,50,10,1,10,1,3541.5104500003963,58.69074492099323,552.6556617307691,-765.8413202185769,443,0.7216320759149388,6,0.011747277386185907
25,10,75,10,2,10,1,2996.523400000274,83.55555555555556,269.1680470744688,-1286.6775527027,225,0.2091961941117836,2,0.009939541918899656
25,15,100,10,1,10,1,2952.5731999999134,82.39277652370203,309.9339327397257,-1412.478362179487,443,0.2194256146065773,3,0.009793758023053035
25,10,50,10,2,10,1,2852.3625500002936,79.11111111111111,272.20165056179843,-970.2027925531888,225,0.280561602843331,5,0.009461356828925429
25,10,50,10,1,10,1,875.2262000001792,77.65237020316027,237.90296904069703,-817.812072222219,443,0.2909017574101708,3,0.0029031468612660395
25,15,50,10,1,10,1,716.6070000002492,72.23476297968398,308.3638651562498,-796.4213808943064,443,0.387186824153297,4,0.002377003068248608
25,35,75,10,1,10,1,-364.37965000009353,66.36568848758465,551.7352278911567,-1091.1042728187924,443,0.5056668199692655,4,-0.0012086562733231397
25,10,100,10,1,10,1,-868.3737500001371,85.32731376975168,242.42256785714227,-1423.140067692308,443,0.1703434351688534,3,-0.00288041711584754
25,25,50,10,1,10,1,-959.301149999601,63.88261851015802,433.87470583038873,-773.4115181249973,443,0.5609881617515123,6,-0.003182025541088319
25,15,75,10,1,10,1,-1116.83760000019,78.1038374717833,307.4094223988438,-1108.0463685567029,443,0.2774337167850322,4,-0.0037045778256909858
25,25,75,10,1,10,1,-1405.829550000044,71.33182844243792,430.3483395569624,-1081.857518503938,443,0.3977865219738693,4,-0.0046631712413966134
25,10,75,10,1,10,1,-3734.231900000168,81.941309255079,237.4983107438011,-1124.3264837500003,443,0.2112360725966943,3,-0.012386539182353986
