ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
100,6400,175,1,1,100,1,343250.0,56.14617940199336,4031.065088757397,-2560.6060606060605,301,1.574262105668569,1.1385687038726262
75,6400,125,1,1,100,1,339925.0,43.39622641509434,5476.521739130435,-1932.5,265,2.83390516901963,1.1275395969815076
100,6400,150,1,1,100,1,335000.0,51.49501661129568,4243.064516129032,-2210.1027397260277,301,1.919849444037619,1.1112032506841363
100,6400,200,1,1,100,1,330675.0,58.13953488372093,3960.214285714286,-2875.8928571428573,301,1.377038186898479,1.0968571191641099
100,6400,75,1,1,100,1,327837.5,34.98349834983499,5431.957547169812,-1258.6294416243654,303,4.315771876557584,1.0874450617795837
50,12800,175,1,2,100,1,323725.0,54.285714285714285,7919.078947368421,-2659.6354166666665,105,2.977505449710637,1.0738037979932
75,12800,200,1,2,100,1,323562.5,60.36036036036037,6764.179104477612,-2946.306818181818,111,2.295816261475383,1.0732647814910026
100,6400,125,1,1,100,1,322387.5,46.026490066225165,4540.6474820143885,-1894.2484662576687,302,2.3970706920961757,1.0693672775520358
100,6400,100,1,1,100,1,321837.5,40.26402640264026,4940.881147540984,-1552.2099447513813,303,3.183126847143328,1.0675429140061365
100,3200,75,1,1,100,1,318962.5,35.19736842105263,5298.247663551402,-1258.6294416243654,304,4.20953736527375,1.0580064681980264
50,12800,50,1,2,100,1,318125.0,30.8411214953271,12009.469696969696,-1056.587837837838,107,11.366276675629193,1.055228460071316
75,12800,175,1,2,100,1,317662.5,56.75675675675676,7077.18253968254,-2670.833333333333,111,2.649803134982542,1.053694336180446
100,12800,175,1,2,100,1,317425.0,60.83333333333333,6062.157534246576,-2661.968085106383,120,2.2773216433976544,1.0529065428310804
50,12800,150,1,2,100,1,315887.5,49.523809523809526,8463.942307692309,-2344.103773584906,105,3.610737034371202,1.0478066174641347
25,12800,150,1,1,100,1,315750.0,46.2962962962963,5772.75,-2254.5258620689656,216,2.5605162030398625,1.04735052657766
75,12800,100,1,2,100,1,314987.5,44.24778761061947,8390.0,-1658.928571428571,113,5.057481162540366,1.0448212952981175
50,12800,100,1,2,100,1,314750.0,40.18691588785047,9767.441860465116,-1644.53125,107,5.939347069546484,1.0440335019487519
100,12800,200,1,2,100,1,313737.5,62.5,5956.833333333333,-2956.1111111111118,120,2.015091148280398,1.0406750145119827
50,12800,125,1,2,100,1,313687.5,44.85981308411215,9013.28125,-2016.1016949152545,107,4.470648118957545,1.0405091632805374
50,12800,75,1,2,100,1,313425.0,35.51401869158878,10751.644736842103,-1378.804347826087,107,7.797803041304482,1.039638444315449
100,3200,100,1,1,100,1,312962.5,40.46052631578947,4828.556910569106,-1552.2099447513813,304,3.110762772069792,1.0381043204245792
75,12800,150,1,2,100,1,312437.5,52.25225225225225,7498.706896551724,-2311.084905660377,111,3.2446695827512304,1.0363628824944024
