LOTS_PER_TRADE,ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,REWARD_TO_RISK,SCORE
1,75,400,125,2,2,10,5312.5,100.0,5312.5,0.0,9999.0,85771.48230209669
1,75,400,125,2,5,10,5312.5,100.0,5312.5,0.0,9999.0,85771.48230209669
1,75,400,75,2,2,10,5312.5,100.0,5312.5,0.0,9999.0,85771.48230209669
1,75,400,75,1,2,10,5312.5,100.0,5312.5,0.0,9999.0,85771.48230209669
1,75,400,100,2,5,10,5312.5,100.0,5312.5,0.0,9999.0,85771.48230209669
1,75,400,125,1,1,10,5312.5,100.0,5312.5,0.0,9999.0,85771.48230209669
1,75,400,75,1,1,10,5312.5,100.0,5312.5,0.0,9999.0,85771.48230209669
1,50,75,10,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,75,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,125,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,50,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,75,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,75,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,75,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,150,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,125,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,125,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,125,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,125,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,200,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,175,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,75,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,75,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,75,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,75,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,75,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,75,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,175,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,175,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,175,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,175,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,175,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,200,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,200,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,200,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,200,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,200,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,175,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,200,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,200,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,200,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,150,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,150,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,175,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,200,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,200,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,200,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,25,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,50,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,25,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,10,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,10,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,200,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,200,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,200,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,125,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,125,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,100,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,100,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,75,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,75,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,75,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,150,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,150,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,150,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,150,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,150,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,150,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,25,1,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,125,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,125,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,125,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,100,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,100,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,175,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,175,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,100,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,25,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,175,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,175,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,200,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,200,1,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,10,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,10,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,25,200,1,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,25,2,10,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,75,200,1,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,175,2,5,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,175,2,2,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
1,50,50,175,2,1,10,3525.0,100.0,1175.0,0.0,9999.0,81671.02571021521
