MAX_CONTRACTS_PER_TRADE,ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK
1,50,100,150,2,5,10,6612.5,100.0,2204.1666666666665,0.0,4.0,0.0
1,50,100,150,2,10,10,6612.5,100.0,2204.1666666666665,0.0,4.0,0.0
1,50,100,175,1,1,10,6612.5,100.0,2204.1666666666665,0.0,4.0,0.0
1,50,100,175,1,2,10,6612.5,100.0,2204.1666666666665,0.0,4.0,0.0
1,75,10,125,2,2,10,162.5,100.0,162.5,0.0,2.0,0.0
1,75,75,100,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,50,75,150,2,1,10,3525.0,100.0,1175.0,0.0,4.0,0.0
1,50,200,150,1,10,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,75,25,150,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,150,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,150,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,175,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,175,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,175,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,175,1,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,175,2,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,175,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,175,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,50,200,150,1,2,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,150,1,5,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,150,2,1,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,75,25,150,1,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,175,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,200,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,200,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,200,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,50,200,150,2,2,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,150,2,5,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,150,2,10,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,175,1,1,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,75,25,200,1,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,200,2,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,200,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,200,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,150,2,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,150,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,50,200,175,1,5,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,75,25,100,1,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,50,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,75,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,75,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,75,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,75,1,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,75,2,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,75,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,75,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,75,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,100,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,100,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,100,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,100,2,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,150,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,100,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,100,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,100,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,125,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,125,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,125,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,125,1,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,125,2,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,125,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,125,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,125,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,25,150,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,50,200,175,1,2,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,175,1,10,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,75,25,50,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,75,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,75,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,75,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,75,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,50,200,200,1,2,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,200,1,5,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,200,1,10,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,200,2,1,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,200,2,2,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,200,2,5,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,50,200,200,2,10,10,9112.5,100.0,3037.5,0.0,4.0,0.0
1,75,50,75,1,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,75,2,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,75,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,50,75,10,2,10,10,3525.0,100.0,1175.0,0.0,4.0,0.0
1,75,50,75,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,100,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,100,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,100,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,100,1,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,100,2,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,100,2,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,100,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,100,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,125,1,1,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,125,1,2,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,125,1,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,50,2,10,10,1050.0,100.0,1050.0,0.0,2.0,0.0
1,75,50,50,2,5,10,1050.0,100.0,1050.0,0.0,2.0,0.0
