ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK
10,10,75,2,1,10,1,-3912.5,35.8974358974359,465.34090909090907,-285.77272727272725,858,1.6283601081596946
10,10,75,2,2,10,1,-6975.0,35.9338061465721,461.3486842105263,-289.9907749077491,846,1.5909081396030238
10,10,75,2,5,10,1,-8537.5,35.427135678391956,462.4113475177305,-297.13035019455253,796,1.556257538871262
10,10,75,2,10,10,1,-4425.0,36.283185840707965,453.3536585365854,-309.2013888888889,678,1.4662083510223085
10,10,100,1,1,10,1,-5187.5,37.2960372960373,458.75,-320.724907063197,858,1.4303535207186324
10,10,100,1,2,10,1,-9175.0,37.35224586288416,454.8259493670886,-325.5660377358491,846,1.397031313616673
10,10,100,1,5,10,1,-8037.5,36.93467336683417,455.35714285714283,-326.39442231075697,796,1.395113126117093
10,10,100,1,10,10,1,-1675.0,38.05309734513274,445.73643410852713,-338.8690476190476,678,1.315364850346611
10,10,100,2,1,10,1,-5187.5,37.2960372960373,458.75,-320.724907063197,858,1.4303535207186324
10,10,100,2,2,10,1,-9175.0,37.35224586288416,454.8259493670886,-325.5660377358491,846,1.397031313616673
10,10,100,2,5,10,1,-8037.5,36.93467336683417,455.35714285714283,-326.39442231075697,796,1.395113126117093
10,10,100,2,10,10,1,-1675.0,38.05309734513274,445.73643410852713,-338.8690476190476,678,1.315364850346611
10,10,125,1,1,10,1,-6112.5,38.6946386946387,457.5301204819277,-315.2091254752852,858,1.4515129274637755
10,10,125,1,2,10,1,-11587.5,38.77068557919622,453.734756097561,-320.0772200772201,846,1.417579032922416
10,10,125,1,5,10,1,-10450.0,38.44221105527638,454.1666666666667,-320.61224489795916,796,1.4165605771270955
10,10,125,1,10,10,1,-9262.5,38.93805309734513,442.6136363636364,-343.9009661835749,678,1.2870380716737169
10,10,125,2,1,10,1,-6112.5,38.6946386946387,457.5301204819277,-315.2091254752852,858,1.4515129274637755
10,10,125,2,2,10,1,-11587.5,38.77068557919622,453.734756097561,-320.0772200772201,846,1.417579032922416
10,10,125,2,5,10,1,-10450.0,38.44221105527638,454.1666666666667,-320.61224489795916,796,1.4165605771270955
10,10,125,2,10,10,1,-9262.5,38.93805309734513,442.6136363636364,-343.9009661835749,678,1.2870380716737169
10,10,150,1,1,10,1,-4275.0,40.55944055944056,460.12931034482756,-327.6470588235294,858,1.4043443942301739
10,10,150,1,2,10,1,-9750.0,40.66193853427896,456.5406976744186,-332.8685258964143,846,1.3715345914575592
10,10,150,1,5,10,1,-10675.0,40.45226130653266,457.14285714285717,-332.4367088607595,796,1.3751274903107364
10,10,150,1,10,10,1,-8100.0,41.29793510324484,446.69642857142856,-350.81658291457285,678,1.2733047704310014
